OBSNAME,LONG,LATI,ALTI
Costa da Terra Nova 1,-59.366667,-3.283333,16
Costa da Terra Nova 2,-59.366667,-3.283333,16
Costa da Terra Nova 3,-59.366667,-3.283333,16
Costa da Terra Nova 4,-59.366667,-3.283333,16
Costa da Terra Nova 5,-59.366667,-3.283333,16
Costa da Terra Nova 6,-59.366667,-3.283333,16
11p7,-46.65,-0.873611,14
12p7,-46.65,-0.873611,14
14p7,-46.65,-0.873611,14
15fs,-46.65,-0.873611,14
16fs,-46.65,-0.873611,14
19rs,-46.65,-0.873611,14
1cs,-46.65,-0.873611,14
20rs,-46.65,-0.873611,14
21rs,-46.65,-0.873611,14
22rs,-46.65,-0.873611,14
2cs,-46.65,-0.873611,14
3cs,-46.65,-0.873611,14
4cs,-46.65,-0.873611,14
6avi,-46.65,-0.873611,14
7avi,-46.65,-0.873611,14
9avi,-46.65,-0.873611,14
I S12,-51.455415,-1.73729,25
II S10,-51.455415,-1.73729,25
III S9,-51.455415,-1.73729,25
VII S22,-51.455415,-1.73729,25
XV S36,-51.455415,-1.73729,25
Bonnett,-72.416667,-0.583333,220
AC3_União,-68.083601,-10.05029,161
AC4_Paraiso,-67.821869,-10.234852,150
Altamira,-52.192629,-3.214717,86
Alter do Chão,-54.9748888,-2.5510556,31
Anangucocha,-76.4376984,-0.524804,231
BR 174 Flooded grassland,-61.0463888,3.5242833,80
Bujari,-67.849165,-9.793283,182
Buriti Prainha 1,-53.6566666,-1.61777778,37
Buritizal Grosso,-59.8571111,3.3798333,84
Caracarana Lake,-59.7822778,3.84375,105
Cocha Cashu,-71.408581,-11.88457,339
Cujubim,-63.6893,-8.582231,60
Das Dores (Monte Alegre),-54.1963888,-2.07138889,6
Igarapé PA Nova Amazonia 1,-61.0497222,2.9982167,88
Imuya,-75.222702,-0.570199,186
Iriri,-52.674403,-3.815842,148
Itaituba 3,-56.01505,-4.315267,12
Itauau Lake,-53.4866666,-1.67083333,20
Lagartacocha,-75.2419968,-0.598086,182
Lago Azul,-60.8208,3.0071667,83
Lago Verde (Alter do Chão),-54.93206667,-2.5028667,14
Lago do Limão,-60.8511833,3.17865,103
Lago do Robertinho,-54.9320666,-2.5028667,14
Lake Geral,-53.6088888,-1.64027778,30
Malduro,-76.8508987,-0.469667,264
Maravilha,-63.93233,-8.725242,59
Maria Pexi Lake,-60.4601666,2.9476833,84
Paraiso,-63.72893,-8.853936,87
Pau D'Arco,-63.61076,-8.552761,50
Refugio (indigena),-60.7387083,3.5149167,88
Reis,-62.91003,-7.500408,47
