OBSNAME,TANN,PANN,MTWA,MTCO
sdv-id-HZGMdc,26.82236497,1815,33.02718014,21.19329739
sdv-id-uMcEBb,26.44536066,3347,32.18134486,21.08204313
sdv-id-aOPoYb,26.54338397,1767,32.90914978,20.90694607
sdv-id-GTbSTm,26.02102419,3397,31.78603584,19.82842116
sdv-id-ooPMOB,24.6528159,2841,31.98693488,16.13255209
sdv-id-EkiLPa,25.11807393,2838,31.62765402,18.28885699
sdv-id-CdfEQI,23.47056421,3135,29.98384449,17.47965527
sdv-id-leijui,26.78809458,3026,32.94874894,22.19101488
sdv-id-jLtjBg,25.05787732,1615,32.04963996,14.5300397
sdv-id-LSjlsz,23.71940832,1618,31.2402084,15.72477664
sdv-id-XeBWNY,26.22816155,3479,30.60178342,22.3537887
sdv-id-lqkFmW,25.68488097,2738,29.51162766,22.15272122
sdv-id-GqBxPG,26.93449173,1630,33.41616886,21.50904765
sdv-id-TCIyTJ,26.58111693,3325,32.76343566,20.99222954
sdv-id-sxnsKC,24.58495457,3409,29.24840062,19.6993488
sdv-id-HgUnSW,23.71172072,1514,29.74178485,14.16011425
sdv-id-AIBjnt,26.57798757,2716,32.00929412,21.85648375
sdv-id-TsPiUQ,24.8155347,3490,31.00636745,20.34972067
sdv-id-mYeSyW,25.71116076,2352,31.60081566,19.99871251
sdv-id-wwudGj,26.61578074,1841,33.49088326,19.8106836
sdv-id-KwDPNz,25.98240094,2608,32.49897417,21.83383278
sdv-id-fcWECR,25.86775075,1336,32.91601487,16.65814016
sdv-id-OkIsBu,25.73366854,1946,31.9716028,19.50641306
sdv-id-qvrmUg,24.73689867,2072,30.88015299,19.13123284
sdv-id-RuEckx,25.50866328,1331,31.98871782,17.18344104
sdv-id-rlwOhS,25.02539374,3414,28.42269485,21.64587939
sdv-id-MsKdYi,24.10986587,2938,30.68089868,14.92129604
sdv-id-sYXuPE,25.15387496,1301,33.35117134,14.42985571
sdv-id-dTHcau,25.27201996,1516,32.45362573,15.09867036
sdv-id-SZMZKj,26.10563832,1344,32.85591333,20.07317058
sdv-id-PGghEo,23.78600816,1804,31.62607637,13.84836614
sdv-id-zuUvSk,25.74751737,1520,32.40739753,18.31605997
sdv-id-YsLVSn,27.55588115,1867,33.41946778,22.37618609
sdv-id-FNpBEe,23.67828659,2804,30.53519131,15.00564897
sdv-id-CYMcdJ,23.9530139,1913,30.2083222,15.10876266
sdv-id-hoCPIG,26.90705166,2138,32.66566823,22.26329775
sdv-id-HUQqLO,25.32905647,1303,31.96883567,16.10594185
sdv-id-ckuqoI,24.97254459,3298,30.58440932,18.24958967
sdv-id-iETLTg,25.63024637,1638,32.41518903,18.76493208
sdv-id-gAaOdF,26.08290869,1728,32.20782709,20.67779616
sdv-id-vPYhjb,25.11902906,2327,30.81421001,18.4750037
sdv-id-DPgqDk,25.07967943,2886,31.26312848,17.95815455
sdv-id-cxmrvh,27.06567579,3375,32.27355204,22.28105158
sdv-id-odPaGi,26.86828025,2814,33.22528858,21.92661874
sdv-id-vYpuNX,26.28207657,1433,32.02447385,21.62199826
sdv-id-wWFIGg,25.37589712,2563,32.0955335,19.87086784
sdv-id-yyefVH,26.84276551,3322,32.02412471,22.48330287
