OBSNAME,LONG,LATI,ALTI
sdv-id-HZGMdc,-56.20744725,-10.06036732,61
sdv-id-uMcEBb,-62.15576805,-4.70765058,130
sdv-id-aOPoYb,-47.69350735,-11.56292889,66
sdv-id-GTbSTm,-63.89185886,-6.67098915,59
sdv-id-ooPMOB,-68.26661883,-5.75246415,173
sdv-id-EkiLPa,-69.58531394,-12.48249736,167
sdv-id-CdfEQI,-78.05946389,-9.52919087,676
sdv-id-leijui,-59.41426907,-7.18586458,30
sdv-id-jLtjBg,-74.1504335,-9.42289183,400
sdv-id-LSjlsz,-76.09514615,-13.18056952,902
sdv-id-XeBWNY,-76.6031181,8.58181969,145
sdv-id-lqkFmW,-74.46311486,7.16124617,118
sdv-id-GqBxPG,-53.99800502,-9.08436023,65
sdv-id-TCIyTJ,-75.68470276,6.21073635,18
sdv-id-sxnsKC,-77.86195781,4.91903269,250
sdv-id-HgUnSW,-76.54363547,-7.16789688,318
sdv-id-AIBjnt,-65.17070168,0.37340273,110
sdv-id-TsPiUQ,-76.52293539,0.77254343,229
sdv-id-mYeSyW,-74.72837514,-7.22927018,317
sdv-id-wwudGj,-46.65,-16.1410884,61
sdv-id-KwDPNz,-73.95842688,-0.96107583,107
sdv-id-fcWECR,-60.21917094,-15.20797859,172
sdv-id-OkIsBu,-67.17678475,-4.67619551,68
sdv-id-qvrmUg,-68.14720644,-8.72108561,434
sdv-id-RuEckx,-56.8977373,-14.06851311,156
sdv-id-rlwOhS,-77.39219247,2.73240681,186
sdv-id-MsKdYi,-75.54855083,-8.47373361,561
sdv-id-sYXuPE,-50.77786291,-17.75,453
sdv-id-dTHcau,-76.41386714,-7.7679926,353
sdv-id-SZMZKj,-66.03294204,-11.3093537,130
sdv-id-PGghEo,-76.3826793,-14.28098185,1064
sdv-id-zuUvSk,-71.05728818,-6.45989269,125
sdv-id-YsLVSn,-51.36965307,-1.69641568,13
sdv-id-FNpBEe,-77.1081336,-7.49847804,321
sdv-id-CYMcdJ,-76.97654397,-7.76558478,361
sdv-id-hoCPIG,-61.26450998,1.25020247,29
sdv-id-HUQqLO,-57.51232041,-17.49215234,449
sdv-id-ckuqoI,-77.42739275,-3.955747,316
sdv-id-iETLTg,-53.23065417,-14.4835227,316
sdv-id-gAaOdF,-67.77988711,-5.17784504,30
sdv-id-vPYhjb,-63.72912517,-16.67027087,451
sdv-id-DPgqDk,-77.94643866,-1.86297848,296
sdv-id-cxmrvh,-65.44820512,0.64984702,50
sdv-id-odPaGi,-55.04737207,-7.58184822,106
sdv-id-vYpuNX,-73.26141255,-5.7332041,209
sdv-id-wWFIGg,-65.79626129,-8.0303441,93
sdv-id-yyefVH,-72.896636,11.59593309,30
sdv-id-FVIgex,-71.19798028,-7.45853159,185
sdv-id-UhmKkP,-65.1623272,5.04859748,14
sdv-id-COeKlL,-76.62206166,-2.60052102,147
sdv-id-XhZJZm,-72.19189381,-10.89077465,949
sdv-id-udeCuN,-63.37615889,-0.22340203,105
sdv-id-xptysn,-75.00048724,0.01504453,122
sdv-id-FXceqH,-65.77204077,-5.35598576,67
sdv-id-sDPMPE,-77.70605883,4.75822686,413
sdv-id-YudDRv,-75.19242921,-13.46930172,378
sdv-id-XDnRSX,-71.67614198,-15.91412141,332
sdv-id-ZOzJCp,-74.95709666,-7.0336918,288
sdv-id-NXRiXG,-53.54655649,-10.82416332,109
sdv-id-WHrpBO,-72.97922252,-5.74687521,204
sdv-id-XKQwLj,-57.83702469,-8.47981727,52
sdv-id-wxBTam,-70.1699906,-1.76689142,147
sdv-id-QrFRqm,-68.3216675,-2.49410702,110
sdv-id-AlXPyn,-50.7563262,-6.33001676,15
sdv-id-KGatSH,-75.63440384,5.17638839,11
sdv-id-PnZZog,-77.06650073,2.37328085,246
sdv-id-duzGkQ,-75.58192936,1.30722515,171
sdv-id-IqxyyS,-65.8987842,-5.23384689,119
sdv-id-ShMxTK,-77.35210983,-6.35727063,309
sdv-id-yetrbW,-64.4433401,-12.35079797,217
sdv-id-oaBCxO,-72.84952422,8.39091481,46
sdv-id-EqUYIi,-78.09494423,7.21131317,418
sdv-id-vpnXjE,-73.72626844,-8.36586388,485
sdv-id-ITUUMa,-77.33102905,11.1846374,49
sdv-id-PtNptP,-69.86433492,-8.62343093,462
sdv-id-UCUHbx,-63.89087301,-8.88445699,252
sdv-id-HpJYwp,-71.17616755,-11.63431518,281
sdv-id-MNHVUN,-72.38516279,-4.83905615,219
sdv-id-UwoDBh,-70.7182122,-12.37210157,317
sdv-id-FGVyzu,-69.53540777,-15.01498858,452
sdv-id-HeDlpS,-71.07811278,-14.93131532,164
sdv-id-CPuOgV,-77.45971158,-9.36162912,619
