OBSNAME,Sapindaceae,Melastomaceae,Byrsonima,Tabebuia,Unonopsis,Ilex,Macoubea,Clusia-type,Solanaceae,Matayba-type
sdv-id-HZGMdc,0,0,1,1,0,4,0,0,2,0
sdv-id-uMcEBb,0,0,3,0,0,9,0,0,1,0
sdv-id-aOPoYb,0,0,14,1,0,6,0,0,1,0
sdv-id-GTbSTm,0,0,2,0,0,12,0,0,2,0
sdv-id-ooPMOB,1,1,2,0,0,15,0,0,6,0
sdv-id-EkiLPa,3,0,14,0,0,12,0,0,1,0
sdv-id-CdfEQI,1,0,1,0,0,2,0,1,19,1
sdv-id-leijui,1,0,20,0,0,17,0,0,2,0
sdv-id-jLtjBg,1,0,2,0,1,3,0,0,5,0
sdv-id-LSjlsz,0,1,1,0,1,1,1,0,2,0
sdv-id-XeBWNY,0,0,2,0,0,14,0,0,29,0
sdv-id-lqkFmW,0,0,1,1,0,1,0,0,1,0
sdv-id-GqBxPG,0,0,1,1,1,19,0,1,12,1
sdv-id-TCIyTJ,0,0,10,0,0,6,0,0,2,0
sdv-id-sxnsKC,0,0,2,0,0,20,0,0,14,0
sdv-id-HgUnSW,0,0,4,0,0,12,0,0,1,0
sdv-id-AIBjnt,1,1,1,1,0,12,0,1,5,1
sdv-id-TsPiUQ,1,0,20,1,1,2,0,0,9,0
sdv-id-mYeSyW,1,1,25,0,0,10,0,0,3,1
sdv-id-wwudGj,0,0,4,0,0,2,1,0,1,0
sdv-id-KwDPNz,0,0,17,0,0,8,0,0,2,0
sdv-id-fcWECR,1,1,5,0,0,16,0,0,4,0
sdv-id-OkIsBu,0,0,28,0,0,12,0,0,13,1
sdv-id-qvrmUg,1,0,30,0,0,18,0,1,1,0
sdv-id-RuEckx,0,0,10,0,1,4,0,1,1,0
sdv-id-rlwOhS,0,0,6,2,0,3,1,0,1,1
sdv-id-MsKdYi,0,0,37,0,0,10,0,2,1,1
sdv-id-sYXuPE,0,0,5,0,0,12,4,0,7,1
sdv-id-dTHcau,0,0,3,0,0,8,0,0,11,0
sdv-id-SZMZKj,0,0,3,1,0,11,0,0,1,1
sdv-id-PGghEo,0,1,4,0,0,3,0,0,1,0
sdv-id-zuUvSk,0,1,3,0,0,11,0,0,2,0
sdv-id-YsLVSn,1,0,5,1,0,2,0,0,3,1
sdv-id-FNpBEe,1,0,35,0,0,6,1,0,7,1
sdv-id-CYMcdJ,2,0,11,0,0,17,1,0,14,0
sdv-id-hoCPIG,0,0,2,0,1,14,0,0,3,0
sdv-id-HUQqLO,1,0,1,1,1,21,0,0,1,0
sdv-id-ckuqoI,0,0,8,0,0,3,0,1,1,0
sdv-id-iETLTg,0,0,9,1,0,14,0,0,1,1
sdv-id-gAaOdF,1,0,22,0,0,17,0,1,7,0
sdv-id-vPYhjb,0,0,2,0,0,2,0,0,2,1
sdv-id-DPgqDk,0,0,12,0,0,3,1,0,7,0
sdv-id-cxmrvh,1,0,49,0,0,21,0,1,15,1
sdv-id-odPaGi,0,0,2,0,0,8,0,1,1,0
sdv-id-vYpuNX,0,0,32,1,0,7,1,0,6,0
sdv-id-wWFIGg,4,0,6,1,1,10,0,0,5,0
sdv-id-yyefVH,0,0,4,0,0,5,0,0,1,1
sdv-id-FVIgex,0,0,3,0,0,1,0,2,1,0
sdv-id-UhmKkP,0,0,47,0,0,2,0,0,1,1
sdv-id-COeKlL,0,0,20,0,0,8,0,0,2,0
sdv-id-XhZJZm,0,0,1,0,1,18,0,0,23,0
sdv-id-udeCuN,0,0,9,0,1,2,0,1,2,1
sdv-id-xptysn,0,0,23,0,0,2,0,0,1,0
sdv-id-FXceqH,0,0,5,0,0,7,0,1,2,0
sdv-id-sDPMPE,1,0,5,0,0,12,0,0,6,1
